DL1,DL2,DL3,DL4,PE1,PE2,PE3,PE4,AC1,AC2,AC3,AC4,PS1,PS2,PS3,PS4,TR1,TR2,TR3,TR4,WR1,WR2,WR3,WR4,GroundTruthFake,RawModelProbability,PlattProbability,SHUDDHOTAProbability
2.0,2.0,2.0,2.0,1.5,1.0,1.0,1.0,1.5,2.0,2.0,2.0,1.5,1.5,1.0,1.5,1.5,1.0,1.0,1.0,2.0,2.5,2.5,2.0,1,0.9496584454059982,0.9628026389779001,0.9121748974286636
1.5,2.0,1.5,1.5,1.5,1.0,1.5,1.5,2.0,2.0,2.0,2.0,1.5,1.5,1.5,1.0,1.5,1.5,1.5,1.5,2.5,2.5,3.0,2.5,0,0.10381537094190504,0.10258023224791742,0.12791038470991195
2.0,2.0,2.0,2.0,1.5,2.0,1.5,1.5,2.5,2.0,2.0,2.5,2.0,2.5,2.0,2.0,2.0,1.5,1.5,2.0,1.0,1.5,1.0,1.0,1,0.99,0.99,0.8587336895788712
2.5,2.0,2.5,2.5,1.0,1.5,1.5,1.0,2.5,2.0,2.0,2.5,1.5,2.0,2.0,2.0,1.5,2.0,2.0,1.5,2.0,2.5,2.0,2.0,1,0.99,0.99,0.842852159618952
1.5,1.0,1.5,1.5,2.0,2.0,1.5,1.5,1.0,1.0,1.0,1.0,1.5,1.5,1.5,1.5,1.5,2.0,2.0,1.5,1.5,1.5,1.5,1.0,0,0.25995791665387946,0.26137720123699537,0.01
2.0,1.5,1.5,1.5,2.0,1.5,2.0,1.5,1.0,1.0,1.0,1.0,1.5,2.0,2.0,2.0,2.0,3.0,2.5,2.0,1.5,1.5,1.0,1.5,0,0.01,0.01,0.01
2.5,2.0,2.5,2.0,2.5,2.5,2.5,2.5,1.5,2.0,2.0,2.0,2.5,2.0,2.5,2.0,1.5,1.5,1.0,2.0,1.5,1.5,1.5,1.5,1,0.8540694021197024,0.8655885819557373,0.99
2.0,2.5,2.0,2.0,2.0,1.5,1.5,2.0,2.0,2.0,2.0,2.5,1.5,1.0,1.0,1.5,2.0,1.5,2.0,2.0,1.0,1.5,1.0,1.0,0,0.01,0.01,0.15183751001574491
1.0,1.0,1.5,1.5,2.0,1.5,1.5,2.0,2.0,2.0,2.0,2.0,1.5,1.5,2.0,2.0,2.0,2.0,2.0,1.5,2.0,1.5,2.0,1.5,0,0.01,0.01,0.01
2.0,2.5,1.5,2.5,1.5,2.0,2.0,2.0,2.5,3.0,2.5,2.5,1.5,1.5,1.5,1.5,2.0,2.5,2.0,2.0,1.5,1.5,1.0,1.5,0,0.37290551266983074,0.37624490638521785,0.07976071407566916
1.5,1.5,1.5,1.5,1.0,1.0,1.0,1.0,2.0,1.5,2.0,2.0,1.5,2.0,1.0,1.5,2.0,2.0,2.5,2.5,2.0,1.5,2.0,2.0,0,0.01,0.01,0.01
1.5,1.5,1.5,1.5,1.5,1.5,1.5,2.0,2.5,2.0,2.0,2.0,2.5,2.5,2.0,2.0,1.5,1.5,1.5,1.5,1.5,2.0,1.5,2.0,1,0.9767791685009259,0.99,0.99
2.0,1.5,2.0,2.0,2.0,2.0,1.5,2.0,2.0,2.0,2.5,1.5,2.5,2.5,2.0,2.0,1.0,1.0,1.0,1.0,1.5,1.5,2.0,1.5,1,0.48887709180484007,0.4941880023655223,0.8712214414493408
1.0,1.0,1.0,1.0,2.5,2.5,2.5,2.5,2.5,1.5,2.0,2.0,2.5,2.0,2.0,2.0,2.5,2.5,2.5,2.5,1.5,1.0,1.0,1.5,0,0.01,0.01,0.1206710739480452
1.0,1.0,1.0,1.0,2.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2.5,2.0,2.5,2.5,2.0,2.0,2.0,2.0,1.5,1.5,2.0,1.5,1,0.46066370631981013,0.46549498932724687,0.8714907474646977
1.5,1.5,1.0,1.5,2.0,2.0,2.0,1.5,2.0,2.0,2.5,2.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2.5,1.5,2.5,2.5,1,0.99,0.99,0.99
1.0,1.0,1.0,1.0,1.5,2.0,1.5,1.5,1.0,1.5,1.5,1.5,1.5,2.0,2.0,2.0,2.5,2.5,2.5,2.5,2.0,2.0,2.0,2.0,0,0.01,0.01,0.01
2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.5,1.5,1.5,1.5,1.5,1.5,1.0,1.5,2.0,2.0,2.0,1.5,1.0,1.5,1.5,1.5,0,0.01,0.01,0.01
1.0,1.0,1.0,1.0,2.0,2.5,2.0,2.0,1.5,1.0,1.5,1.5,2.0,2.0,2.0,1.5,3.0,2.5,2.5,2.5,2.0,1.5,2.0,2.0,1,0.4120858782994101,0.41609133823050004,0.99
1.0,1.0,1.0,1.0,2.0,2.5,2.5,2.0,2.0,2.0,2.0,1.5,1.5,1.5,1.5,1.5,2.0,1.5,1.5,1.5,2.5,2.0,2.0,2.5,1,0.99,0.99,0.99
2.5,2.5,2.5,2.5,2.0,2.5,2.0,2.0,2.5,2.5,2.5,2.5,1.5,1.5,1.5,2.0,2.5,2.5,2.5,2.5,1.0,1.0,1.0,1.0,0,0.01,0.01,0.01
1.5,1.0,2.0,1.5,1.0,1.5,1.5,1.5,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.5,2.5,2.5,3.0,2.0,2.0,2.0,2.0,0,0.01,0.01,0.12188508849734923
2.0,1.5,2.0,1.5,2.5,2.5,2.5,2.5,2.0,2.0,2.0,2.0,1.0,1.0,1.5,1.0,2.0,2.0,1.5,2.0,1.5,1.0,1.5,1.5,0,0.01,0.01,0.01
1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,2.5,2.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.0,2.0,0,0.01,0.01,0.01
1.5,1.5,1.0,1.5,2.5,2.5,2.0,2.0,1.0,1.5,2.0,1.0,1.0,1.5,1.0,1.0,2.0,2.0,2.0,2.5,1.5,1.5,1.5,1.5,1,0.9696387955645362,0.9831226550891333,0.99
1.5,1.5,2.0,1.5,2.5,2.5,2.5,2.0,2.0,2.5,2.5,2.5,1.0,1.0,1.0,1.0,3.0,2.5,2.5,2.5,1.0,1.0,1.0,1.0,0,0.01,0.01,0.01
1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.5,1.5,2.0,2.0,2.5,2.0,1.5,1.0,1.5,1.5,1.0,1.0,1.0,1.0,0,0.01,0.01,0.01
2.0,2.0,1.5,2.0,1.5,1.5,1.5,1.5,1.0,1.5,1.5,1.0,2.5,2.0,2.5,2.5,2.0,2.0,2.0,2.5,2.0,2.0,2.0,2.0,0,0.01,0.01,0.05437921302171633
1.5,1.0,1.0,1.5,2.0,1.5,2.0,1.5,1.0,1.0,1.5,1.5,2.0,2.0,2.0,2.0,2.0,2.5,2.5,3.0,2.0,1.5,2.0,2.0,1,0.703597014755306,0.7125581640061461,0.7397856496600888
1.5,1.5,1.5,1.5,1.0,1.5,2.0,1.5,2.0,1.5,2.0,2.5,2.0,2.5,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,0,0.041979514049914624,0.03969316578876317,0.12125077326090856
1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.5,1.5,1.0,2.0,1.5,2.0,1.5,1.0,1.0,1.5,1.5,2.0,2.5,1.5,2.5,0,0.01,0.01,0.01
